,allInPings,assistMePings,assists,baronKills,bountyLevel,champExperience,champLevel,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
62,0,0,10,0,0,16326,16,Tristana,0,6,8091,9372,8091,12876,8,4,5,0,0,0,False,False,False,False,False,False,18934,17950,BOTTOM,1,1,1,6672,3156,3006,3094,3033,3031,3363,24,3,17,BOTTOM,808,6,2,796,30664,3549,11475,0,12,0,1,0,0,1,2,171717,41254,16750,0,0,CARRY,37,29,29,8,False,200,BOTTOM,15,2218,12,205917,46157,0,28867,0,8486,598,206,187,340,4,0,3536,1354,641,2,3,7,22,4,2,13,False
63,0,0,8,0,3,14435,15,MissFortune,3,5,5230,19784,5230,4308,3,4,3,0,4,0,False,False,False,True,False,True,14974,12900,BOTTOM,0,0,0,3156,3142,6676,3009,6699,1055,3363,22,3,13,BOTTOM,925,6,2,633,4403,1540,5064,0,8,0,0,0,0,0,11,129591,19402,4867,0,0,CARRY,73,38,36,6,False,100,BOTTOM,10,1763,4,137183,21890,0,10127,0,2772,468,191,158,86,3,0,3188,947,196,3,3,4,32,4,7,11,True
64,0,0,6,0,17,17963,17,Ezreal,2,4,10996,30646,10996,11886,0,3,3,0,1,0,False,False,False,False,False,False,16828,13858,BOTTOM,0,2,0,3026,0,3042,6610,3158,3078,3363,23,1,17,MIDDLE,355,17,2,0,25470,6514,7016,0,8,0,0,1,0,0,4,190490,20597,13110,0,0,DUO,306,41,26,11,False,100,BOTTOM,4,1995,4,235429,27770,0,20993,0,14239,357,247,120,0,2,0,19468,658,866,6,6,5,22,3,3,11,True
65,0,0,0,0,0,325,2,Kayn,0,1,0,0,0,171,0,0,0,0,0,0,False,False,False,False,True,False,590,500,BOTTOM,0,0,0,1101,2003,0,0,0,0,3340,3,0,0,NONE,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,990,0,390,0,0,SUPPORT,2,0,0,0,False,200,BOTTOM,0,107,4,1813,0,0,390,0,171,0,0,0,0,1,0,822,0,0,0,0,0,0,0,0,0,True
66,0,0,14,0,1,22317,18,Veigar,1,9,4355,25048,4355,17673,7,6,0,0,6,0,False,True,False,False,False,False,20177,18150,BOTTOM,1,1,1,6655,3157,3089,3165,3020,3135,3363,33,3,14,BOTTOM,0,5,1,989,286987,44817,8385,0,8,0,0,1,0,0,11,11028,1311,15572,0,0,CARRY,176,102,40,18,False,100,BOTTOM,31,2783,2,304217,47541,0,24522,0,2518,0,258,106,325,1,0,6201,1412,564,1,2,8,34,6,3,16,True
67,0,0,10,0,4,10181,13,Skarner,0,3,2356,12852,2356,14069,2,2,0,1,2,0,False,True,False,False,False,False,9990,8700,BOTTOM,0,1,0,1054,3071,3084,3158,3066,0,3364,17,3,8,MIDDLE,0,4,1,668,17819,4372,5920,0,4,1,0,1,0,0,10,47720,9713,11508,0,0,DUO,123,22,59,6,False,100,BOTTOM,34,1474,0,69025,14127,0,17767,0,3602,630,126,340,42,4,0,3485,41,337,1,2,1,17,2,1,7,True
68,0,1,15,0,1,16164,16,Ezreal,0,7,3586,5286,3586,15866,8,5,0,0,3,0,False,False,False,False,False,True,15673,14233,BOTTOM,0,1,1,3074,3078,3026,3158,2055,3042,3363,23,3,12,BOTTOM,0,4,1,415,16141,6153,7387,0,14,0,0,0,0,0,9,134346,22024,17222,0,0,CARRY,230,41,27,14,False,200,BOTTOM,2,2118,0,176134,28999,0,26818,2,7818,422,164,26,259,2,0,25646,821,2208,2,4,6,33,6,4,12,True
69,0,0,4,0,0,5161,9,Hwei,1,3,0,0,0,3074,4,0,0,0,2,0,False,False,False,False,False,True,5219,4075,BOTTOM,0,0,0,1056,6655,1001,2055,0,0,3340,9,1,2,NONE,0,2,1,446,20178,5536,3233,0,0,0,0,0,0,0,2,9466,1405,4810,0,0,SUPPORT,33,12,14,2,False,200,BOTTOM,6,986,0,31154,6942,98,8223,0,792,314,79,72,70,2,0,1510,0,179,0,0,2,6,1,0,5,False
70,0,0,11,0,0,17981,17,Jhin,1,4,4203,12874,4203,7977,4,3,0,1,9,1,False,False,False,False,False,True,14793,14025,BOTTOM,0,0,0,3009,3094,3031,3026,6676,0,3363,23,1,8,BOTTOM,1542,6,1,1128,6914,353,7936,0,4,0,0,0,0,0,9,182709,21906,10423,0,0,CARRY,86,28,30,35,False,200,BOTTOM,24,2074,0,189673,22308,0,19958,0,7953,441,234,121,82,2,0,50,48,1598,3,3,3,26,3,4,11,True
71,0,0,9,0,1,12933,14,Xayah,0,5,1731,3811,1731,15091,11,4,0,0,5,0,False,False,False,False,False,True,12036,11300,BOTTOM,0,0,2,0,6671,3139,6672,3006,0,3363,23,1,6,BOTTOM,433,3,1,435,826,136,19214,0,7,0,0,0,0,0,19,128494,18512,11539,0,0,CARRY,52,23,39,7,False,100,BOTTOM,22,2139,5,129545,18873,0,30955,0,4274,0,194,40,342,1,0,225,225,201,0,1,10,28,4,3,11,False
